-0.000286 0.002994 0.053870, -0.000000 -0.631759 -0.775165
-0.001379 0.002482 0.054014, 0.371339 -0.511104 -0.775165
-0.001991 0.002254 0.053870, 0.371339 -0.511104 -0.775165
-0.002574 0.001197 0.054014, 0.600839 -0.195224 -0.775165
-0.002936 0.000653 0.053870, 0.600839 -0.195224 -0.775165
-0.002786 -0.000544 0.054014, 0.600839 0.195224 -0.775165
-0.002759 -0.001197 0.053870, 0.600839 0.195224 -0.775165
-0.001934 -0.002078 0.054014, 0.371339 0.511104 -0.775165
-0.001528 -0.002590 0.053870, 0.371339 0.511104 -0.775165
-0.000343 -0.002818 0.054014, 0.000000 0.631759 -0.775165
0.000286 -0.002994 0.053870, 0.000000 0.631759 -0.775165
0.001379 -0.002482 0.054014, -0.371339 0.511104 -0.775165
0.001991 -0.002254 0.053870, -0.371339 0.511104 -0.775165
0.002574 -0.001197 0.054014, -0.600839 0.195224 -0.775165
0.002936 -0.000653 0.053870, -0.600839 0.195224 -0.775165
0.003306 0.000653 0.053532, -0.705297 -0.229165 -0.670849
0.003244 0.001415 0.053337, -0.705297 -0.229165 -0.670849
0.002291 0.002472 0.053532, -0.435898 -0.599962 -0.670849
0.001793 0.003052 0.053337, -0.435898 -0.599962 -0.670849
0.000401 0.003346 0.053532, -0.000000 -0.741594 -0.670849
-0.000343 0.003522 0.053337, -0.000000 -0.741594 -0.670849
-0.001643 0.002943 0.053532, 0.435898 -0.599962 -0.670849
-0.002348 0.002648 0.053337, 0.435898 -0.599962 -0.670849
-0.003059 0.001415 0.053532, 0.705297 -0.229165 -0.670849
-0.003456 0.000762 0.053337, 0.705297 -0.229165 -0.670849
-0.003306 -0.000653 0.053532, 0.705297 0.229165 -0.670849
-0.003244 -0.001415 0.053337, 0.705297 0.229165 -0.670849
-0.002291 -0.002472 0.053532, 0.435898 0.599962 -0.670849
-0.001793 -0.003052 0.053337, 0.435898 0.599962 -0.670849
-0.000401 -0.003346 0.053532, 0.000000 0.741594 -0.670849
0.000343 -0.003522 0.053337, 0.000000 0.741594 -0.670849
0.001643 -0.002943 0.053532, -0.435898 0.599962 -0.670849
0.002348 -0.002648 0.053337, -0.435898 0.599962 -0.670849
0.003059 -0.001415 0.053532, -0.705297 0.229165 -0.670849
0.003456 -0.000762 0.053337, -0.705297 0.229165 -0.670849
0.003827 0.000762 0.052859, -0.808274 -0.262624 -0.526993
0.003729 0.001633 0.052575, -0.808274 -0.262624 -0.526993
0.002648 0.002866 0.052859, -0.499541 -0.687559 -0.526993
0.002057 0.003513 0.052575, -0.499541 -0.687559 -0.526993
0.000458 0.003875 0.052859, -0.000000 -0.849870 -0.526993
-0.000401 0.004051 0.052575, -0.000000 -0.849870 -0.526993
-0.001907 0.003404 0.052859, 0.499541 -0.687559 -0.526993
-0.002705 0.003042 0.052575, 0.499541 -0.687559 -0.526993
-0.003544 0.001633 0.052859, 0.808274 -0.262624 -0.526993
-0.003976 0.000871 0.052575, 0.808274 -0.262624 -0.526993
-0.003827 -0.000762 0.052859, 0.808274 0.262624 -0.526993
-0.003729 -0.001633 0.052575, 0.808274 0.262624 -0.526993
-0.002648 -0.002866 0.052859, 0.499541 0.687559 -0.526993
-0.002057 -0.003513 0.052575, 0.499541 0.687559 -0.526993
-0.000458 -0.003875 0.052859, 0.000000 0.849870 -0.526993
0.000401 -0.004051 0.052575, -0.000000 0.849870 -0.526993
0.001907 -0.003404 0.052859, -0.499541 0.687559 -0.526993
0.002705 -0.003042 0.052575, -0.499541 0.687559 -0.526993
0.003544 -0.001633 0.052859, -0.808274 0.262624 -0.526993
0.003976 -0.000871 0.052575, -0.808274 0.262624 -0.526993
0.004347 0.000871 0.051527, -0.926722 -0.301110 -0.224763
0.004214 0.001850 0.050764, -0.926722 -0.301110 -0.224763
0.003005 0.003259 0.051527, -0.572746 -0.788317 -0.224763
0.002321 0.003974 0.050764, -0.572746 -0.788317 -0.224763
0.000515 0.004403 0.051527, -0.000000 -0.974413 -0.224763
-0.000458 0.004579 0.050764, -0.000000 -0.974413 -0.224763
-0.002171 0.003865 0.051527, 0.572746 -0.788317 -0.224763
-0.003062 0.003436 0.050764, 0.572746 -0.788317 -0.224763
-0.004028 0.001850 0.051527, 0.926722 -0.301110 -0.224763
-0.004497 0.000980 0.050764, 0.926722 -0.301110 -0.224763
-0.004347 -0.000871 0.051527, 0.926722 0.301110 -0.224763
-0.004214 -0.001850 0.050764, 0.926722 0.301110 -0.224763
-0.003005 -0.003259 0.051527, 0.572746 0.788317 -0.224763
-0.002321 -0.003974 0.050764, 0.572746 0.788317 -0.224763
-0.000515 -0.004403 0.051527, 0.000000 0.974413 -0.224763
0.000458 -0.004579 0.050764, -0.000000 0.974413 -0.224763
0.002171 -0.003865 0.051527, -0.572746 0.788317 -0.224763
0.003062 -0.003436 0.050764, -0.572746 0.788317 -0.224763
0.004028 -0.001850 0.051527, -0.926722 0.301110 -0.224763
0.004497 -0.000980 0.050764, -0.926722 0.301110 -0.224763
