0.000343352215972 0.001056729462550 0.054874980215218 , 0.001348361657292 0.000979642087154 0.054714045207910 , 0.000515028323958 0.001585094193825 0.054714045207910 
0.000343352215972 0.001056729462550 0.054874980215218 , -0.000343352215972 0.001056729462550 0.054874980215218 , 0.000515028323958 0.001585094193825 0.054714045207910 
-0.000343352215972 0.001056729462550 0.054874980215218 , 0.000515028323958 0.001585094193825 0.054714045207910 , -0.000515028323958 0.001585094193825 0.054714045207910 
-0.000343352215972 0.001056729462550 0.054874980215218 , -0.000898907771528 0.000653094724769 0.054874980215218 , -0.000515028323958 0.001585094193825 0.054714045207910 
-0.000898907771528 0.000653094724769 0.054874980215218 , -0.000515028323958 0.001585094193825 0.054714045207910 , -0.001348361657292 0.000979642087154 0.054714045207910 
-0.000898907771528 0.000653094724769 0.054874980215218 , -0.001111111111111 0.000000000000000 0.054874980215218 , -0.001348361657292 0.000979642087154 0.054714045207910 
-0.001111111111111 0.000000000000000 0.054874980215218 , -0.001348361657292 0.000979642087154 0.054714045207910 , -0.001666666666667 0.000000000000000 0.054714045207910 
-0.001111111111111 0.000000000000000 0.054874980215218 , -0.000898907771528 -0.000653094724769 0.054874980215218 , -0.001666666666667 0.000000000000000 0.054714045207910 
-0.000898907771528 -0.000653094724769 0.054874980215218 , -0.001666666666667 0.000000000000000 0.054714045207910 , -0.001348361657292 -0.000979642087154 0.054714045207910 
-0.000898907771528 -0.000653094724769 0.054874980215218 , -0.000343352215972 -0.001056729462550 0.054874980215218 , -0.001348361657292 -0.000979642087154 0.054714045207910 
-0.000343352215972 -0.001056729462550 0.054874980215218 , -0.001348361657292 -0.000979642087154 0.054714045207910 , -0.000515028323958 -0.001585094193825 0.054714045207910 
-0.000343352215972 -0.001056729462550 0.054874980215218 , 0.000343352215972 -0.001056729462550 0.054874980215218 , -0.000515028323958 -0.001585094193825 0.054714045207910 
0.000343352215972 -0.001056729462550 0.054874980215218 , -0.000515028323958 -0.001585094193825 0.054714045207910 , 0.000515028323958 -0.001585094193825 0.054714045207910 
0.000343352215972 -0.001056729462550 0.054874980215218 , 0.000898907771528 -0.000653094724769 0.054874980215218 , 0.000515028323958 -0.001585094193825 0.054714045207910 
