index,x,y
1,114,831
2,121,805
3,128,782
4,138,760
5,148,746
6,157,737
7,169,721
8,181,705
9,192,696
10,203,679
11,220,660
12,233,647
13,247,630
14,257,620
15,270,608
16,283,600
17,297,588
18,312,579
19,326,568
20,344,556
21,362,546
22,378,536
23,392,527
24,407,518
25,424,510
26,442,501
27,457,496
28,475,488
29,497,479
30,516,472
31,534,466
32,550,463
33,570,457
34,585,454
35,602,448
36,625,443
37,638,438
38,653,438
39,668,437
40,690,434
41,709,431
42,723,430
43,749,427
44,768,424
45,793,421
46,813,418
47,824,417
48,838,417
49,862,416
50,882,417
51,901,418
52,920,419
53,937,422
54,957,426
55,978,428
56,996,431
57,1011,433
58,1025,438
59,1043,443
60,1062,448
61,1082,454
62,1101,460
63,1114,464
64,1129,470
65,1143,476
66,1158,484
67,1174,493
68,1186,501
69,1199,507
70,1211,513
71,1227,523
72,1241,532
73,1256,544
74,1270,555
75,1283,565
76,1295,575
77,1309,589
78,1319,602
79,1331,617
80,1340,635
81,1351,646
82,1360,661
83,1372,675
84,1381,693
85,1392,707
86,1399,727
87,1409,747
88,1415,761
89,1423,785
90,1423,798
91,1423,807
92,1423,820
93,1426,832
94,1422,775
95,1408,736
96,1398,715
