index,x,y
1,133,839
2,136,813
3,138,797
4,144,777
5,149,760
6,157,748
7,165,739
8,180,719
9,195,704
10,206,690
11,222,672
12,241,648
13,251,631
14,270,608
15,280,600
16,295,586
17,312,575
18,335,562
19,357,552
20,379,540
21,401,528
22,422,519
23,443,505
24,464,496
25,489,487
26,516,478
27,539,469
28,567,463
29,590,454
30,616,444
31,634,440
32,654,436
33,673,432
34,697,427
35,721,423
36,747,422
37,769,420
38,797,417
39,823,417
40,845,417
41,864,417
42,887,418
43,909,418
44,932,419
45,955,419
46,981,420
47,1001,422
48,1025,428
49,1045,431
50,1062,435
51,1078,440
52,1094,444
53,1111,450
54,1132,456
55,1150,465
56,1168,472
57,1192,483
58,1216,491
59,1246,503
60,1230,494
61,1257,505
62,1270,513
63,1287,525
64,1302,537
65,1312,548
66,1323,559
67,1340,573
68,1349,587
69,1366,602
70,1376,614
71,1390,627
72,1400,640
73,1417,656
74,1431,670
75,1440,688
76,1449,705
77,1458,721
78,1473,739
79,1479,754
80,1480,772
81,1486,794
82,1488,810
83,1489,824
84,1491,837
85,1493,849
86,1207,481
87,1187,474
