index,x,y
1,1479,611
2,1481,587
3,1481,567
4,1481,567
5,1481,553
6,1476,537
7,1474,524
8,1471,508
9,1464,492
10,1455,479
11,1448,464
12,1438,449
13,1428,433
14,1421,423
15,1414,412
16,1403,403
17,1394,391
18,1384,382
19,1372,371
20,1360,362
21,1350,352
22,1339,343
23,1325,334
24,1314,325
25,1303,316
26,1286,307
27,1268,297
28,1257,291
29,1243,286
30,1234,280
31,1218,273
32,1202,262
33,1190,255
34,1179,249
35,1164,245
36,1150,242
37,1137,236
38,1124,232
39,1111,228
40,1100,224
41,1086,221
42,1073,214
43,1057,211
44,1044,208
45,1031,205
46,1020,203
47,1008,202
48,1000,202
49,988,199
50,975,195
51,961,192
52,947,190
53,933,188
54,919,186
55,905,184
56,888,181
57,873,180
58,858,180
59,842,178
60,818,177
61,802,177
62,790,176
63,777,176
64,760,177
65,744,177
66,732,177
67,718,177
68,708,177
69,690,177
70,679,179
71,665,179
72,647,179
73,631,181
74,616,182
75,602,183
76,583,187
77,571,188
78,557,190
79,547,191
80,537,192
81,526,193
82,511,194
83,502,198
84,491,200
85,480,200
86,467,204
87,452,208
88,437,210
89,421,215
90,406,217
91,394,219
92,384,223
93,371,228
94,355,236
95,337,242
96,322,249
97,304,254
98,286,260
99,272,267
100,258,273
101,242,279
102,229,288
103,217,296
104,202,305
105,187,313
106,170,323
107,155,332
108,143,340
109,135,349
110,125,358
111,113,368
112,98,378
113,86,389
114,74,401
115,64,414
116,53,426
117,46,438
