index,x,y
1,135,604
2,138,583
3,140,563
4,142,541
5,143,522
6,154,504
7,161,487
8,172,466
9,183,447
10,196,432
11,207,416
12,224,400
13,237,388
14,251,377
15,268,363
16,286,347
17,303,335
18,321,326
19,340,317
20,363,307
21,389,294
22,414,282
23,430,276
24,443,273
25,460,267
26,482,262
27,500,259
28,521,253
29,537,251
30,559,247
31,582,243
32,605,240
33,625,238
34,643,237
35,659,237
36,680,237
37,701,235
38,720,235
39,735,233
40,750,233
41,771,232
42,793,232
43,813,230
44,826,231
45,843,232
46,861,234
47,882,235
48,899,235
49,913,236
50,933,239
51,952,242
52,969,247
53,989,251
54,1006,254
55,1026,258
56,1045,260
57,1063,263
58,1087,269
59,1105,274
60,1126,281
61,1143,289
62,1159,295
63,1175,302
64,1189,309
65,1208,318
66,1222,326
67,1238,333
68,1253,341
69,1271,353
70,1288,365
71,1304,377
72,1317,392
73,1329,403
74,1342,414
75,1354,427
76,1363,441
77,1413,597
78,1412,587
79,1413,576
80,1411,562
81,1410,549
82,1410,538
83,1408,523
84,1402,511
85,1395,494
86,1386,483
87,1381,470
88,1375,457
89,1365,449
