index,x,y
1,59,836
2,62,814
3,64,795
4,70,769
5,78,746
6,86,725
7,96,707
8,106,690
9,121,666
10,136,645
11,153,629
12,167,610
13,182,593
14,200,571
15,219,552
16,238,531
17,254,523
18,267,514
19,286,503
20,305,493
21,323,480
22,347,467
23,364,459
24,388,446
25,410,438
26,431,429
27,459,413
28,481,406
29,497,402
30,517,397
31,537,391
32,557,385
33,578,378
34,599,373
35,622,368
36,641,362
37,669,360
38,699,356
39,721,355
40,743,352
41,765,352
42,784,351
43,810,350
44,833,350
45,853,350
46,874,350
47,895,350
48,918,351
49,942,352
50,965,353
51,984,355
52,1008,355
53,1032,358
54,1053,360
55,1074,361
56,1094,364
57,1117,368
58,1146,374
59,1168,380
60,1190,387
61,1208,394
62,1228,401
63,1247,413
64,1266,426
65,1281,431
66,1304,443
67,1321,454
68,1337,465
69,1350,477
70,1368,491
71,1386,506
72,1402,523
73,1420,539
74,1435,558
75,1454,582
76,1466,602
77,1475,617
78,1490,641
79,1503,657
80,1514,677
81,1523,695
82,1527,714
83,1533,735
84,1536,755
85,1539,774
86,1539,788
87,1539,799
88,1539,814
89,1539,829
90,1538,842
91,1450,571
