,x,y
0,46.0,833.709373309655
1,52.62626262626263,772.9584333974393
2,59.25252525252525,738.9622171352851
3,65.87878787878788,719.3785044315008
4,72.5050505050505,706.3951317316089
5,79.13131313131314,695.6812112522292
6,85.75757575757575,685.3736588666761
7,92.38383838383838,675.1498452001177
8,99.01010101010101,665.3420042394126
9,105.63636363636364,656.2570834856322
10,112.26262626262627,648.0147892047692
11,118.88888888888889,640.5897691413676
12,125.51515151515152,633.8616466730348
13,132.14141414141415,627.6650549649546
14,138.76767676767676,621.8391710213056
15,145.39393939393938,616.2642470562857
16,152.02020202020202,610.8651350610522
17,158.64646464646466,605.6018086902658
18,165.27272727272728,600.4593850455416
19,171.8989898989899,595.4381464589018
20,178.52525252525254,590.5436499697947
21,185.15151515151516,585.7791168348607
22,191.77777777777777,581.1436098131401
23,198.40404040404042,576.6324904840237
24,205.03030303030303,572.2379642587772
25,211.65656565656565,567.949625392059
26,218.2828282828283,563.7550033281102
27,224.9090909090909,559.6401437482602
28,231.53535353535352,555.5902777064032
29,238.16161616161617,551.5905254657949
30,244.78787878787878,547.6266016705133
31,251.41414141414143,543.6855205169226
32,258.04040404040404,539.7563009251345
33,264.66666666666663,535.8306717104713
34,271.29292929292933,531.903776754927
35,277.9191919191919,527.9748801786313
36,284.54545454545456,524.0480715113107
37,291.1717171717172,520.1329708637511
38,297.7979797979798,516.2454340992604
39,304.42424242424244,512.4082273276409
40,311.0505050505051,508.6509037844319
41,317.67676767676767,505.00765599583605
42,324.3030303030303,501.5143703289152
43,330.92929292929296,498.20565086429804
44,337.55555555555554,495.11184326888525
45,344.1818181818182,492.25605866855733
46,350.80808080808083,489.6511975208801
47,357.4343434343434,487.29697348781195
48,364.06060606060606,485.1769373084099
49,370.6868686868687,483.2555006715369
50,377.3131313131313,481.4749600885672
51,383.93939393939394,479.75271822970456
52,390.5656565656566,477.98363931417225
53,397.19191919191917,476.05543709869704
54,403.8181818181818,473.86919691986793
55,410.44444444444446,471.3600952001039
56,417.07070707070704,468.51811895362243
57,423.6969696969697,465.40878529240797
58,430.32323232323233,462.1926634036583
59,436.949494949495,459.1137607856545
60,443.57575757575756,456.4088726011718
61,450.2020202020202,454.18783145500765
62,456.82828282828285,452.36549995103985
63,463.45454545454544,450.7281501851078
64,470.0808080808081,449.05159059707086
65,476.7070707070707,447.19031231783987
66,483.3333333333333,445.0879008907271
67,489.95959595959596,442.7564313220752
68,496.5858585858586,440.25467018301106
69,503.2121212121212,437.66627771120125
70,509.83838383838383,435.07820584512956
71,516.4646464646464,432.5641905039981
72,523.0909090909091,430.18117541420645
73,529.7171717171717,427.97083018145605
74,536.3434343434344,425.96126429537384
75,542.969696969697,424.1687411341409
76,549.5959595959596,422.5993870700124
77,556.2222222222222,421.25077319812385
78,562.8484848484849,420.1131737243983
79,569.4747474747475,419.1706969767391
80,576.1010101010102,418.40241151711587
81,582.7272727272727,417.78347225365246
82,589.3535353535353,417.28624655271346
83,595.979797979798,416.881440350991
84,602.6060606060606,416.5392242675928
85,609.2323232323232,416.23035971612813
86,615.8585858585859,415.92732501679563
87,622.4848484848485,415.60544150847
88,629.1111111111111,415.2439996607892
89,635.7373737373738,414.82738518624114
90,642.3636363636364,414.3462051522516
91,648.989898989899,413.7984140932704
92,655.6161616161617,413.1904401228586
93,662.2424242424242,412.538311045776
94,668.8686868686868,411.86878047006803
95,675.4949494949495,411.22045391915265
96,682.1212121212121,410.64491494390705
97,688.7474747474747,410.20785123475576
98,695.3737373737374,409.99018073375663
99,702.0,410.08917774668856
