index,x,y
1,76,800
2,79,785
3,83,771
4,86,754
5,88,737
6,99,713
7,106,692
8,116,674
9,130,655
10,145,635
11,159,618
12,175,599
13,196,583
14,213,563
15,234,548
16,251,533
17,273,516
18,290,506
19,302,498
20,319,485
21,334,476
22,355,464
23,376,454
24,393,448
25,407,442
26,426,434
27,443,427
28,465,419
29,480,411
30,499,405
31,521,403
32,547,395
33,569,388
34,588,386
35,605,383
36,625,381
37,649,377
38,682,373
39,702,372
40,718,370
41,668,373
42,736,364
43,757,361
44,776,360
45,799,360
46,817,360
47,840,360
48,872,362
49,897,362
50,915,362
51,862,359
52,728,363
53,930,366
54,950,365
55,972,366
56,995,367
57,1017,369
58,1037,374
59,1057,380
60,1076,388
61,1096,397
62,1114,403
63,1133,411
64,1155,420
65,1170,427
66,1189,436
67,1208,443
68,1222,450
69,1244,456
70,1261,465
71,1274,476
72,1286,486
73,1303,501
74,1442,815
75,1442,790
76,1441,765
77,1440,755
78,1439,741
79,1439,715
80,1433,701
81,1426,673
82,1418,660
83,1409,637
84,1401,627
85,1395,615
86,1381,598
87,1372,585
88,1359,568
89,1351,556
90,1341,541
91,1331,529
92,1323,517
93,1315,510
94,1303,500
