index,x,y
1,58,983
2,62,956
3,66,931
4,76,904
5,88,882
6,94,866
7,104,846
8,113,827
9,122,812
10,134,795
11,146,777
12,161,756
13,169,742
14,182,726
15,194,716
16,206,704
17,217,693
18,230,683
19,240,674
20,256,665
21,271,655
22,289,643
23,302,634
24,319,624
25,337,616
26,352,609
27,368,599
28,388,593
29,401,587
30,422,580
31,437,575
32,457,570
33,469,565
34,485,565
35,504,561
36,522,558
37,543,552
38,557,552
39,575,553
40,591,552
41,606,552
42,624,552
43,641,552
44,655,552
45,670,554
46,685,554
47,703,556
48,716,557
49,733,559
50,748,561
51,764,565
52,776,568
53,791,572
54,806,574
55,817,578
56,836,585
57,848,592
58,863,596
59,877,603
60,889,610
61,902,618
62,913,625
63,925,633
64,938,641
65,952,649
66,964,659
67,976,667
68,990,680
69,1000,693
70,1016,709
71,1030,722
72,1037,733
73,1044,744
74,1058,756
75,1070,771
76,1075,784
77,1092,795
78,1103,808
79,1111,822
80,1119,836
81,1126,852
82,1128,866
83,1128,875
84,1130,896
85,1133,909
86,1136,926
87,1137,944
88,1137,956
89,1135,968
90,1083,786
91,1073,767
92,1057,751
93,1047,740
94,1028,719
95,1009,703
