index,x,y
1,1052,813
2,1053,796
3,1053,782
4,1051,766
5,1049,746
6,1043,731
7,1042,722
8,1038,708
9,1035,694
10,1029,679
11,1023,667
12,1017,656
13,1012,643
14,1007,631
15,1000,622
16,991,610
17,985,595
18,974,586
19,966,571
20,957,562
21,946,550
22,938,538
23,926,531
24,914,521
25,904,511
26,886,497
27,870,486
28,859,478
29,847,471
30,833,461
31,821,455
32,811,451
33,798,446
34,781,437
35,768,434
36,753,429
37,739,424
38,727,418
39,714,415
40,700,412
41,687,410
42,677,407
43,665,405
44,651,404
45,640,404
46,626,401
47,612,399
48,595,398
49,581,399
50,564,399
51,547,400
52,535,400
53,521,400
54,505,402
55,490,404
56,478,407
57,463,411
58,452,414
59,437,417
60,423,421
61,408,426
62,396,430
63,378,436
64,359,447
65,344,452
66,331,459
67,319,467
68,310,472
69,298,479
70,288,484
71,272,493
72,265,502
73,250,514
74,240,522
75,229,530
76,218,542
77,209,553
78,200,561
79,190,571
80,178,586
81,167,604
82,156,619
83,150,632
84,142,641
85,131,659
86,127,671
87,123,683
88,116,698
89,113,709
90,111,718
91,107,732
92,103,742
93,101,755
94,99,769
95,97,779
96,97,788
97,97,800
98,96,808
