index,x,y
1,82,879
2,85,862
3,90,847
4,99,828
5,107,814
6,116,798
7,125,789
8,134,778
9,146,764
10,155,755
11,167,744
12,179,731
13,193,720
14,205,708
15,218,699
16,231,691
17,247,678
18,261,668
19,277,658
20,294,648
21,308,642
22,324,636
23,341,628
24,361,619
25,373,615
26,388,612
27,404,605
28,420,600
29,434,595
30,448,591
31,464,588
32,480,584
33,494,582
34,509,579
35,526,577
36,540,574
37,557,571
38,572,570
39,589,569
40,600,568
41,613,569
42,627,568
43,651,566
44,674,562
45,690,562
46,706,561
47,724,562
48,741,561
49,758,561
50,776,561
51,792,561
52,808,561
53,822,564
54,842,563
55,855,566
56,869,566
57,884,568
58,902,571
59,921,572
60,940,573
61,959,574
62,975,577
63,994,582
64,1010,588
65,1032,592
66,1050,597
67,1070,603
68,1088,606
69,1106,613
70,1122,621
71,1140,628
72,1159,636
73,1172,643
74,1188,650
75,1202,657
76,1215,664
77,1229,670
78,1244,679
79,1259,691
80,1271,698
81,1285,708
82,1297,718
83,1315,732
84,1325,742
85,1342,753
86,1355,766
87,1368,783
88,1377,797
89,1388,811
90,1397,823
91,1406,838
92,1411,852
93,1418,866
94,1422,882
95,1424,893
96,1426,903
97,661,561
98,640,564
