index,x,y
1,53,791
2,55,773
3,59,750
4,61,731
5,69,700
6,81,676
7,89,651
8,112,611
9,132,574
10,146,556
11,125,590
12,102,627
13,159,537
14,173,521
15,190,507
16,211,496
17,234,480
18,257,461
19,274,451
20,295,437
21,318,425
22,337,416
23,360,407
24,383,396
25,406,388
26,430,384
27,452,379
28,482,366
29,504,360
30,530,352
31,559,345
32,578,340
33,606,333
34,629,331
35,656,330
36,656,330
37,679,326
38,704,323
39,723,322
40,742,320
41,759,319
42,782,319
43,805,319
44,828,318
45,855,318
46,876,319
47,900,320
48,922,320
49,941,322
50,964,322
51,985,325
52,1007,327
53,1027,329
54,1046,336
55,1067,337
56,1088,342
57,1109,346
58,1132,353
59,1157,357
60,1184,368
61,1174,363
62,1206,379
63,1222,389
64,1237,396
65,1253,402
66,1269,410
67,1287,421
68,1305,434
69,1321,442
70,1334,454
71,1350,461
72,1364,471
73,1376,482
74,1389,494
75,1400,505
76,1410,515
77,1425,525
78,1436,539
79,1453,554
80,1464,568
81,1474,583
82,1483,597
83,1491,611
84,1499,636
85,1505,654
86,1510,670
87,1514,689
88,1516,707
89,1518,723
90,1519,733
91,1519,744
92,1497,622
93,469,368
