index,x,y
1,46,774
2,49,759
3,54,742
4,60,722
5,69,704
6,82,687
7,94,672
8,106,655
9,122,637
10,138,624
11,151,611
12,166,599
13,180,590
14,197,579
15,216,567
16,235,555
17,251,545
18,270,538
19,288,528
20,316,518
21,337,511
22,356,504
23,381,495
24,400,491
25,417,484
26,435,480
27,454,479
28,473,473
29,489,470
30,507,468
31,522,467
32,535,465
33,548,464
34,563,461
35,576,461
36,591,459
37,604,458
38,619,456
39,632,455
40,647,454
41,664,454
42,680,454
43,696,454
44,713,454
45,728,455
46,741,457
47,758,457
48,771,457
49,787,457
50,800,457
51,814,458
52,830,459
53,845,462
54,863,462
55,878,464
56,896,464
57,911,466
58,926,469
59,946,471
60,966,474
61,977,478
62,998,481
63,1013,486
64,1033,492
65,1046,497
66,1066,505
67,1084,511
68,1102,518
69,1117,521
70,1135,527
71,1150,533
72,1169,536
73,1177,544
74,1188,551
75,1202,558
76,1219,567
77,1234,578
78,1245,585
79,1257,593
80,1268,599
81,1279,609
82,1290,619
83,1304,629
84,1315,641
85,1329,651
86,1343,668
87,1353,681
88,1364,691
89,1372,706
90,1383,723
91,1390,741
92,1399,757
93,1402,775
94,1405,784
95,1407,797
96,1408,806
