index,x,y
1,73,793
2,77,774
3,77,760
4,82,741
5,87,718
6,94,701
7,101,679
8,112,658
9,122,636
10,138,622
11,152,602
12,164,586
13,176,568
14,189,549
15,204,530
16,221,515
17,241,495
18,258,484
19,274,471
20,291,461
21,305,453
22,323,441
23,339,434
24,357,422
25,377,411
26,398,405
27,421,393
28,443,386
29,468,381
30,468,381
31,483,374
32,501,369
33,513,365
34,532,358
35,554,354
36,572,348
37,589,346
38,607,339
39,632,336
40,654,329
41,669,327
42,691,324
43,715,318
44,739,316
45,764,314
46,790,314
47,809,312
48,830,312
49,851,311
50,869,310
51,890,311
52,916,310
53,943,310
54,966,311
55,990,313
56,1016,315
57,1038,316
58,1062,317
59,1081,320
60,1102,328
61,1124,336
62,1145,342
63,1164,348
64,1172,353
65,1184,360
66,1197,368
67,1215,380
68,1226,386
69,1238,395
70,1255,403
71,1273,413
72,1305,434
73,1294,427
74,1326,453
75,1334,465
76,1316,444
77,1521,765
78,1515,750
79,1509,742
80,1506,731
81,1500,710
82,1496,699
83,1494,694
84,1478,667
85,1457,622
86,1446,602
87,1434,588
88,1423,569
89,1398,536
90,1385,509
91,1351,483
92,1368,497
93,1387,518
94,1402,529
95,1407,554
96,1419,561
97,1436,589
98,1467,644
