0.000493 0.000302 0.019154, 0.201826 0.116524 -0.972465
0.000387 0.000318 0.019136, 0.173189 0.155940 -0.972465
0.000420 0.000398 0.019154, 0.173189 0.155940 -0.972465
0.000313 0.000391 0.019136, 0.136982 0.188540 -0.972465
0.000328 0.000476 0.019154, 0.136982 0.188540 -0.972465
0.000225 0.000448 0.019136, 0.094789 0.212900 -0.972465
0.000222 0.000534 0.019154, 0.094789 0.212900 -0.972465
0.000127 0.000485 0.019136, 0.048453 0.227956 -0.972465
0.000106 0.000569 0.019154, 0.048454 0.227956 -0.972465
0.000023 0.000501 0.019136, 0.000000 0.233048 -0.972465
-0.000015 0.000578 0.019154, -0.000000 0.233048 -0.972465
-0.000082 0.000494 0.019136, -0.048453 0.227956 -0.972465
-0.000135 0.000563 0.019154, -0.048454 0.227956 -0.972465
-0.000183 0.000467 0.019136, -0.094789 0.212900 -0.972465
-0.000249 0.000522 0.019154, -0.094789 0.212900 -0.972465
-0.000276 0.000418 0.019136, -0.136982 0.188540 -0.972465
-0.000352 0.000459 0.019154, -0.136982 0.188540 -0.972465
-0.000357 0.000352 0.019136, -0.173189 0.155940 -0.972465
-0.000440 0.000376 0.019154, -0.173189 0.155940 -0.972465
-0.000422 0.000270 0.019136, -0.201826 0.116524 -0.972465
-0.000508 0.000276 0.019154, -0.201826 0.116524 -0.972465
-0.000469 0.000177 0.019136, -0.221642 0.072016 -0.972465
-0.000554 0.000165 0.019154, -0.221642 0.072016 -0.972465
-0.000495 0.000075 0.019136, -0.231772 0.024360 -0.972465
-0.000577 0.000046 0.019154, -0.231772 0.024360 -0.972465
-0.000500 -0.000029 0.019136, -0.231772 -0.024360 -0.972465
-0.000574 -0.000075 0.019154, -0.231772 -0.024360 -0.972465
-0.000483 -0.000133 0.019136, -0.221642 -0.072016 -0.972465
-0.000545 -0.000193 0.019154, -0.221642 -0.072016 -0.972465
-0.000445 -0.000230 0.019136, -0.201826 -0.116524 -0.972465
-0.000493 -0.000302 0.019154, -0.201826 -0.116524 -0.972465
-0.000387 -0.000318 0.019136, -0.173189 -0.155940 -0.972465
-0.000420 -0.000398 0.019154, -0.173189 -0.155940 -0.972465
-0.000313 -0.000391 0.019136, -0.136982 -0.188540 -0.972465
-0.000328 -0.000476 0.019154, -0.136982 -0.188540 -0.972465
-0.000225 -0.000448 0.019136, -0.094789 -0.212900 -0.972465
-0.000222 -0.000534 0.019154, -0.094789 -0.212900 -0.972465
-0.000127 -0.000485 0.019136, -0.048453 -0.227956 -0.972465
-0.000106 -0.000569 0.019154, -0.048454 -0.227956 -0.972465
-0.000023 -0.000501 0.019136, 0.000000 -0.233048 -0.972465
0.000015 -0.000578 0.019154, -0.000000 -0.233048 -0.972465
0.000082 -0.000494 0.019136, 0.048453 -0.227956 -0.972465
0.000135 -0.000563 0.019154, 0.048454 -0.227956 -0.972465
0.000183 -0.000467 0.019136, 0.094789 -0.212900 -0.972465
0.000249 -0.000522 0.019154, 0.094789 -0.212900 -0.972465
0.000276 -0.000418 0.019136, 0.136982 -0.188540 -0.972465
0.000352 -0.000459 0.019154, 0.136982 -0.188540 -0.972465
0.000357 -0.000352 0.019136, 0.173189 -0.155940 -0.972465
0.000440 -0.000376 0.019154, 0.173189 -0.155940 -0.972465
0.000422 -0.000270 0.019136, 0.201826 -0.116524 -0.972465
0.000508 -0.000276 0.019154, 0.201826 -0.116524 -0.972465
0.000469 -0.000177 0.019136, 0.221642 -0.072016 -0.972465
0.000554 -0.000165 0.019154, 0.221642 -0.072016 -0.972465
0.000495 -0.000075 0.019136, 0.231772 -0.024360 -0.972465
0.000577 -0.000046 0.019154, 0.231772 -0.024360 -0.972465
0.000702 0.000046 0.019236, 0.795369 0.083597 -0.600333
0.000743 0.000101 0.019298, 0.795369 0.083596 -0.600333
0.000677 0.000191 0.019236, 0.760608 0.247137 -0.600333
0.000706 0.000254 0.019298, 0.760608 0.247137 -0.600333
0.000623 0.000327 0.019236, 0.692604 0.399875 -0.600333
0.000638 0.000395 0.019298, 0.692604 0.399875 -0.600333
0.000541 0.000450 0.019236, 0.594330 0.535138 -0.600333
0.000542 0.000519 0.019298, 0.594330 0.535137 -0.600333
0.000436 0.000552 0.019236, 0.470082 0.647011 -0.600333
0.000422 0.000620 0.019298, 0.470081 0.647012 -0.600333
0.000311 0.000631 0.019236, 0.325288 0.730609 -0.600333
0.000284 0.000694 0.019298, 0.325288 0.730608 -0.600333
0.000173 0.000682 0.019236, 0.166278 0.782274 -0.600333
0.000133 0.000738 0.019298, 0.166278 0.782274 -0.600333
0.000028 0.000703 0.019236, 0.000000 0.799750 -0.600333
-0.000023 0.000750 0.019298, -0.000000 0.799750 -0.600333
-0.000119 0.000693 0.019236, -0.166278 0.782274 -0.600333
